event_id,timestamp,attack_technique,attack_category,target_system,success_status
1,2023-12-30 08:49:19,T1566,Phishing,Database Server,False
2,2023-11-21 17:36:08,T1133,Persistence,Cloud Infrastructure,True
3,2023-02-10 11:25:19,T1190,Initial Access,Web Server,True
4,2023-08-02 08:02:20,T1021,Lateral Movement,Web Server,True
5,2023-04-14 07:19:25,T1190,Initial Access,Database Server,False
6,2023-08-08 14:30:04,T1021,Lateral Movement,Active Directory,True
7,2023-04-09 10:49:21,T1486,Impact,Database Server,False
8,2023-02-10 01:52:27,T1486,Impact,Web Server,False
9,2023-06-19 17:09:44,T1071,Command and Control,Active Directory,True
10,2023-01-25 23:59:15,T1021,Lateral Movement,Workstation,True
11,2023-12-19 03:55:09,T1190,Initial Access,Web Server,True
12,2023-07-26 13:12:21,T1486,Impact,Web Server,True
13,2023-02-02 07:48:42,T1021,Lateral Movement,Web Server,True
14,2023-05-28 00:37:27,T1486,Impact,Web Server,False
15,2023-11-20 22:36:03,T1190,Initial Access,Active Directory,False
16,2023-07-10 23:10:11,T1566,Phishing,Database Server,True
17,2023-05-22 08:10:27,T1190,Initial Access,Web Server,True
18,2023-08-27 15:40:36,T1059,Execution,Database Server,False
19,2023-11-29 19:46:36,T1021,Lateral Movement,Cloud Infrastructure,True
20,2023-09-28 18:55:46,T1190,Initial Access,Workstation,False
21,2023-05-20 17:00:26,T1486,Impact,Database Server,False
22,2023-09-23 19:58:34,T1486,Impact,Web Server,False
23,2023-06-04 09:57:51,T1566,Phishing,Cloud Infrastructure,False
24,2023-05-20 23:23:28,T1566,Phishing,Web Server,True
25,2023-06-20 09:15:50,T1071,Command and Control,Active Directory,False
26,2023-08-11 01:36:43,T1486,Impact,Workstation,True
27,2023-10-24 18:01:55,T1133,Persistence,Web Server,True
28,2023-04-15 03:01:11,T1566,Phishing,Active Directory,False
29,2023-12-02 15:21:25,T1059,Execution,Web Server,True
30,2023-08-10 22:06:00,T1566,Phishing,Database Server,False
31,2023-05-02 12:07:03,T1190,Initial Access,Web Server,False
32,2023-09-12 07:27:14,T1059,Execution,Database Server,False
33,2023-06-18 13:35:55,T1566,Phishing,Cloud Infrastructure,True
34,2023-08-02 23:48:04,T1486,Impact,Active Directory,True
35,2023-12-03 19:46:13,T1021,Lateral Movement,Database Server,False
36,2023-06-03 00:29:29,T1486,Impact,Web Server,False
37,2023-05-12 10:30:24,T1021,Lateral Movement,Cloud Infrastructure,True
38,2023-05-27 00:13:00,T1021,Lateral Movement,Active Directory,False
39,2023-06-28 13:26:22,T1071,Command and Control,Web Server,False
40,2023-06-06 08:06:03,T1021,Lateral Movement,Workstation,True
41,2023-03-21 15:34:00,T1133,Persistence,Database Server,False
42,2023-09-09 13:10:40,T1133,Persistence,Workstation,False
43,2023-03-13 22:31:03,T1190,Initial Access,Database Server,True
44,2023-04-22 23:35:03,T1059,Execution,Active Directory,True
45,2023-08-21 08:31:53,T1486,Impact,Cloud Infrastructure,True
46,2023-01-25 18:39:50,T1566,Phishing,Workstation,True
47,2023-07-18 00:47:00,T1486,Impact,Database Server,True
48,2023-01-17 08:14:21,T1566,Phishing,Active Directory,True
49,2023-01-10 22:01:54,T1059,Execution,Workstation,True
50,2023-12-24 17:28:06,T1566,Phishing,Web Server,False
51,2023-06-28 19:31:54,T1133,Persistence,Database Server,False
52,2023-07-01 19:41:14,T1059,Execution,Workstation,False
53,2023-08-20 12:42:57,T1566,Phishing,Cloud Infrastructure,True
54,2023-07-31 04:58:51,T1190,Initial Access,Active Directory,True
55,2023-03-28 02:13:56,T1566,Phishing,Active Directory,True
56,2023-06-17 16:42:29,T1059,Execution,Database Server,False
57,2023-04-13 15:31:18,T1190,Initial Access,Workstation,True
58,2023-10-14 05:28:32,T1566,Phishing,Workstation,True
59,2023-02-22 02:52:31,T1071,Command and Control,Database Server,True
60,2023-06-22 07:11:57,T1071,Command and Control,Cloud Infrastructure,False
61,2023-09-15 14:08:14,T1566,Phishing,Database Server,False
62,2023-08-15 05:18:50,T1133,Persistence,Active Directory,False
63,2023-10-23 06:58:38,T1021,Lateral Movement,Active Directory,False
64,2023-05-16 11:08:44,T1071,Command and Control,Workstation,False
65,2023-06-04 13:02:36,T1566,Phishing,Web Server,False
66,2023-07-23 05:10:08,T1486,Impact,Web Server,False
67,2023-10-29 13:02:11,T1566,Phishing,Database Server,True
68,2023-06-14 18:06:52,T1566,Phishing,Database Server,True
69,2023-07-01 23:10:58,T1190,Initial Access,Cloud Infrastructure,True
70,2023-03-01 05:03:15,T1486,Impact,Cloud Infrastructure,False
71,2023-11-11 02:33:32,T1190,Initial Access,Web Server,True
72,2023-08-15 04:01:22,T1190,Initial Access,Web Server,True
73,2023-05-04 01:05:55,T1190,Initial Access,Database Server,False
74,2023-06-08 08:37:05,T1059,Execution,Database Server,True
75,2023-06-20 03:06:05,T1566,Phishing,Web Server,True
76,2023-07-01 03:26:08,T1566,Phishing,Cloud Infrastructure,True
77,2023-03-18 18:17:26,T1059,Execution,Web Server,False
78,2023-01-18 18:20:42,T1059,Execution,Active Directory,False
79,2023-02-03 07:36:07,T1071,Command and Control,Workstation,True
80,2023-10-01 01:07:25,T1566,Phishing,Web Server,True
81,2023-09-05 06:53:33,T1190,Initial Access,Workstation,False
82,2023-06-18 10:24:23,T1059,Execution,Database Server,False
83,2023-11-20 13:41:57,T1190,Initial Access,Active Directory,False
84,2023-11-14 23:33:22,T1021,Lateral Movement,Active Directory,False
85,2023-02-18 06:23:14,T1133,Persistence,Workstation,True
86,2023-06-18 21:34:08,T1021,Lateral Movement,Workstation,True
87,2023-06-10 05:51:44,T1133,Persistence,Cloud Infrastructure,False
88,2023-06-27 11:04:35,T1059,Execution,Cloud Infrastructure,True
89,2023-01-15 13:21:39,T1486,Impact,Database Server,True
90,2023-10-04 19:51:18,T1059,Execution,Workstation,False
91,2023-09-07 16:53:16,T1071,Command and Control,Cloud Infrastructure,True
92,2023-08-06 03:44:00,T1190,Initial Access,Cloud Infrastructure,True
93,2023-04-22 16:42:06,T1133,Persistence,Cloud Infrastructure,False
94,2023-04-18 05:28:26,T1486,Impact,Database Server,True
95,2023-05-23 16:26:08,T1071,Command and Control,Database Server,False
96,2023-06-23 06:48:33,T1486,Impact,Web Server,True
97,2023-09-12 09:15:30,T1190,Initial Access,Cloud Infrastructure,True
98,2023-04-09 17:40:37,T1133,Persistence,Web Server,True
99,2023-04-09 01:11:09,T1059,Execution,Database Server,True
100,2023-01-19 04:38:19,T1566,Phishing,Database Server,False
101,2023-02-21 02:34:10,T1566,Phishing,Cloud Infrastructure,True
102,2023-02-19 08:31:43,T1021,Lateral Movement,Cloud Infrastructure,True
103,2023-07-20 14:08:46,T1071,Command and Control,Web Server,False
104,2023-04-26 09:40:45,T1566,Phishing,Cloud Infrastructure,False
105,2023-07-06 19:00:05,T1059,Execution,Cloud Infrastructure,False
106,2023-05-29 21:25:21,T1071,Command and Control,Cloud Infrastructure,True
107,2023-04-16 00:38:20,T1059,Execution,Cloud Infrastructure,False
108,2023-09-06 16:33:04,T1071,Command and Control,Active Directory,False
109,2023-12-25 03:04:26,T1059,Execution,Database Server,True
110,2023-05-08 02:41:26,T1133,Persistence,Cloud Infrastructure,False
111,2023-06-28 03:32:44,T1071,Command and Control,Cloud Infrastructure,False
112,2023-07-06 08:14:54,T1071,Command and Control,Database Server,False
113,2023-04-04 02:25:21,T1059,Execution,Database Server,True
114,2023-01-09 22:42:13,T1133,Persistence,Cloud Infrastructure,False
115,2023-11-09 05:37:56,T1133,Persistence,Workstation,True
116,2023-11-07 22:36:58,T1566,Phishing,Workstation,False
117,2023-09-20 15:32:24,T1486,Impact,Workstation,True
118,2023-04-21 17:12:46,T1059,Execution,Database Server,False
119,2023-07-18 00:03:48,T1133,Persistence,Workstation,True
120,2023-09-07 21:19:43,T1021,Lateral Movement,Web Server,False
121,2023-10-16 04:02:14,T1133,Persistence,Active Directory,True
122,2023-04-07 10:44:43,T1566,Phishing,Web Server,False
123,2023-07-23 19:15:28,T1566,Phishing,Web Server,True
124,2023-10-25 12:37:10,T1021,Lateral Movement,Web Server,False
125,2023-09-25 23:50:15,T1566,Phishing,Active Directory,False
126,2023-03-29 11:35:34,T1059,Execution,Cloud Infrastructure,True
127,2023-12-20 10:56:08,T1190,Initial Access,Active Directory,True
128,2023-11-19 21:20:51,T1021,Lateral Movement,Workstation,False
129,2023-11-25 00:04:39,T1071,Command and Control,Active Directory,True
130,2023-03-08 07:07:50,T1486,Impact,Web Server,False
131,2023-04-03 09:18:11,T1190,Initial Access,Web Server,True
132,2023-12-28 21:38:34,T1071,Command and Control,Active Directory,True
133,2023-08-24 21:06:43,T1566,Phishing,Active Directory,True
134,2023-10-20 01:40:52,T1059,Execution,Workstation,True
135,2023-04-13 21:11:36,T1566,Phishing,Cloud Infrastructure,True
136,2023-03-04 15:35:19,T1566,Phishing,Database Server,False
137,2023-04-18 01:55:00,T1486,Impact,Active Directory,False
138,2023-01-08 20:05:05,T1133,Persistence,Active Directory,True
139,2023-02-13 17:48:34,T1133,Persistence,Database Server,True
140,2023-06-07 21:37:56,T1133,Persistence,Database Server,True
141,2023-06-04 07:23:00,T1190,Initial Access,Active Directory,False
142,2023-03-24 12:50:21,T1021,Lateral Movement,Active Directory,True
143,2023-07-14 15:40:31,T1190,Initial Access,Web Server,False
144,2023-05-21 08:24:59,T1021,Lateral Movement,Cloud Infrastructure,True
145,2023-08-26 02:16:58,T1486,Impact,Cloud Infrastructure,True
146,2023-02-07 11:03:32,T1071,Command and Control,Workstation,True
147,2023-02-14 08:07:20,T1021,Lateral Movement,Web Server,True
148,2023-07-03 02:06:59,T1021,Lateral Movement,Workstation,False
149,2023-07-23 18:00:08,T1021,Lateral Movement,Web Server,False
150,2023-01-20 14:36:13,T1566,Phishing,Database Server,False
151,2023-08-13 10:31:37,T1566,Phishing,Active Directory,True
152,2023-09-20 15:47:22,T1021,Lateral Movement,Active Directory,True
153,2023-02-28 22:08:08,T1133,Persistence,Cloud Infrastructure,True
154,2023-05-15 15:18:42,T1059,Execution,Web Server,False
155,2023-01-08 01:42:48,T1133,Persistence,Web Server,True
156,2023-10-18 04:14:50,T1071,Command and Control,Active Directory,False
157,2023-10-22 21:53:44,T1071,Command and Control,Web Server,False
158,2023-07-26 10:41:06,T1021,Lateral Movement,Web Server,True
159,2023-08-25 22:38:14,T1059,Execution,Active Directory,False
160,2023-03-07 01:49:59,T1071,Command and Control,Workstation,True
161,2023-01-31 20:00:12,T1071,Command and Control,Web Server,True
162,2023-06-03 13:57:13,T1071,Command and Control,Workstation,False
163,2023-02-27 04:29:06,T1566,Phishing,Cloud Infrastructure,True
164,2023-09-02 12:31:11,T1021,Lateral Movement,Cloud Infrastructure,False
165,2023-08-25 09:31:21,T1133,Persistence,Web Server,False
166,2023-09-30 17:47:31,T1071,Command and Control,Cloud Infrastructure,True
167,2023-07-28 03:09:20,T1059,Execution,Web Server,True
168,2023-12-22 13:20:49,T1071,Command and Control,Cloud Infrastructure,True
