instruction,input,output,category,source,quality_score,word_count,has_code
Explain MITRE ATT&CK technique T1110 (Brute Force) and provide comprehensive detection and response guidance.,Security analyst needs to understand Brute Force attacks and how to detect them.,"**MITRE ATT&CK T1110: Brute Force**

**Description:**
Adversaries may use brute force techniques to gain access to accounts

**Detection Strategy:**
Monitor for multiple failed authentication attempts

**Key Indicators:**
- Unusual process behavior
- Suspicious network connections
- Anomalous authentication patterns
- Unexpected file modifications

**Response Actions:**
1. **Immediate**: Isolate affected systems
2. **Investigation**: Analyze attack timeline and scope
3. **Containment**: Block malicious IPs and processes
4. **Recovery**: Restore from clean backups if needed

**Mitigation:**
Implement account lockout policies and MFA

**Hunting Queries:**
```spl
index=security technique_id=""T1110""
| stats count by src_ip, dest_host, process_name
| where count > threshold
```

**References:**
- MITRE ATT&CK: https://attack.mitre.org/techniques/T1110/
- NIST SP 800-53 controls
- CIS Critical Security Controls",attack_techniques,mitre_attack,0.95,112,True
Explain MITRE ATT&CK technique T1566 (Phishing) and provide comprehensive detection and response guidance.,Security analyst needs to understand Phishing attacks and how to detect them.,"**MITRE ATT&CK T1566: Phishing**

**Description:**
Adversaries may send phishing messages to gain access to victim systems

**Detection Strategy:**
Monitor email attachments and suspicious links

**Key Indicators:**
- Unusual process behavior
- Suspicious network connections
- Anomalous authentication patterns
- Unexpected file modifications

**Response Actions:**
1. **Immediate**: Isolate affected systems
2. **Investigation**: Analyze attack timeline and scope
3. **Containment**: Block malicious IPs and processes
4. **Recovery**: Restore from clean backups if needed

**Mitigation:**
User training and email security controls

**Hunting Queries:**
```spl
index=security technique_id=""T1566""
| stats count by src_ip, dest_host, process_name
| where count > threshold
```

**References:**
- MITRE ATT&CK: https://attack.mitre.org/techniques/T1566/
- NIST SP 800-53 controls
- CIS Critical Security Controls",attack_techniques,mitre_attack,0.95,111,True
Explain MITRE ATT&CK technique T1055 (Process Injection) and provide comprehensive detection and response guidance.,Security analyst needs to understand Process Injection attacks and how to detect them.,"**MITRE ATT&CK T1055: Process Injection**

**Description:**
Adversaries may inject code into processes to evade defenses

**Detection Strategy:**
Monitor for process creation and memory modification

**Key Indicators:**
- Unusual process behavior
- Suspicious network connections
- Anomalous authentication patterns
- Unexpected file modifications

**Response Actions:**
1. **Immediate**: Isolate affected systems
2. **Investigation**: Analyze attack timeline and scope
3. **Containment**: Block malicious IPs and processes
4. **Recovery**: Restore from clean backups if needed

**Mitigation:**
Application isolation and endpoint protection

**Hunting Queries:**
```spl
index=security technique_id=""T1055""
| stats count by src_ip, dest_host, process_name
| where count > threshold
```

**References:**
- MITRE ATT&CK: https://attack.mitre.org/techniques/T1055/
- NIST SP 800-53 controls
- CIS Critical Security Controls",attack_techniques,mitre_attack,0.95,110,True
Explain MITRE ATT&CK technique T1021 (Remote Services) and provide comprehensive detection and response guidance.,Security analyst needs to understand Remote Services attacks and how to detect them.,"**MITRE ATT&CK T1021: Remote Services**

**Description:**
Adversaries may use valid accounts to log into remote services

**Detection Strategy:**
Monitor for unusual logon patterns and geographic anomalies

**Key Indicators:**
- Unusual process behavior
- Suspicious network connections
- Anomalous authentication patterns
- Unexpected file modifications

**Response Actions:**
1. **Immediate**: Isolate affected systems
2. **Investigation**: Analyze attack timeline and scope
3. **Containment**: Block malicious IPs and processes
4. **Recovery**: Restore from clean backups if needed

**Mitigation:**
Network segmentation and privileged access management

**Hunting Queries:**
```spl
index=security technique_id=""T1021""
| stats count by src_ip, dest_host, process_name
| where count > threshold
```

**References:**
- MITRE ATT&CK: https://attack.mitre.org/techniques/T1021/
- NIST SP 800-53 controls
- CIS Critical Security Controls",attack_techniques,mitre_attack,0.95,113,True
Explain MITRE ATT&CK technique T1059 (Command and Scripting Interpreter) and provide comprehensive detection and response guidance.,Security analyst needs to understand Command and Scripting Interpreter attacks and how to detect them.,"**MITRE ATT&CK T1059: Command and Scripting Interpreter**

**Description:**
Adversaries may abuse command interpreters to execute commands

**Detection Strategy:**
Monitor command-line activity and script execution

**Key Indicators:**
- Unusual process behavior
- Suspicious network connections
- Anomalous authentication patterns
- Unexpected file modifications

**Response Actions:**
1. **Immediate**: Isolate affected systems
2. **Investigation**: Analyze attack timeline and scope
3. **Containment**: Block malicious IPs and processes
4. **Recovery**: Restore from clean backups if needed

**Mitigation:**
Application controls and PowerShell logging

**Hunting Queries:**
```spl
index=security technique_id=""T1059""
| stats count by src_ip, dest_host, process_name
| where count > threshold
```

**References:**
- MITRE ATT&CK: https://attack.mitre.org/techniques/T1059/
- NIST SP 800-53 controls
- CIS Critical Security Controls",attack_techniques,mitre_attack,0.95,110,True
Create detection rules for MITRE ATT&CK technique T1110 (Brute Force).,Need to detect Brute Force attacks in SIEM environment.,"**Detection Rules for T1110: Brute Force**

**Splunk Detection:**
```spl
index=security sourcetype=WinEventLog:Security
| eval technique_id=""T1110""
| search EventCode=4624 OR EventCode=4625
| stats count by src_ip, user, technique_id
| where count > 5
| eval severity=case(count > 20, ""High"", count > 10, ""Medium"", 1=1, ""Low"")
```

**LimaCharlie D&R Rule:**
```yaml
detect:
  event: NEW_PROCESS
  op: and
  rules:
    - op: contains
      path: event/COMMAND_LINE
      value: suspicious_pattern
      case_sensitive: false

respond:
  - action: report
    name: t1110_detection
  - action: isolation
    duration: 3600
    reason: Potential Brute Force detected
```

**Sigma Rule:**
```yaml
title: Brute Force Detection
id: 5b080f9d-8945-4e77-981c-16699dceb0b5
status: experimental
description: Detects potential Brute Force activity
logsource:
  category: process_creation
  product: windows
detection:
  selection:
    Image|endswith: '.exe'
    CommandLine|contains: 'suspicious'
  condition: selection
falsepositives:
  - Legitimate administrative activity
level: medium
tags:
  - attack.t1110
```

**Tuning Guidance:**
- Adjust thresholds based on environment baseline
- Whitelist known legitimate processes
- Correlate with threat intelligence feeds",detection_rules,mitre_attack,0.9,141,True
Create detection rules for MITRE ATT&CK technique T1566 (Phishing).,Need to detect Phishing attacks in SIEM environment.,"**Detection Rules for T1566: Phishing**

**Splunk Detection:**
```spl
index=security sourcetype=WinEventLog:Security
| eval technique_id=""T1566""
| search EventCode=4624 OR EventCode=4625
| stats count by src_ip, user, technique_id
| where count > 5
| eval severity=case(count > 20, ""High"", count > 10, ""Medium"", 1=1, ""Low"")
```

**LimaCharlie D&R Rule:**
```yaml
detect:
  event: NEW_PROCESS
  op: and
  rules:
    - op: contains
      path: event/COMMAND_LINE
      value: suspicious_pattern
      case_sensitive: false

respond:
  - action: report
    name: t1566_detection
  - action: isolation
    duration: 3600
    reason: Potential Phishing detected
```

**Sigma Rule:**
```yaml
title: Phishing Detection
id: 77fbb308-98fb-4e77-981c-16699dceb0b5
status: experimental
description: Detects potential Phishing activity
logsource:
  category: process_creation
  product: windows
detection:
  selection:
    Image|endswith: '.exe'
    CommandLine|contains: 'suspicious'
  condition: selection
falsepositives:
  - Legitimate administrative activity
level: medium
tags:
  - attack.t1566
```

**Tuning Guidance:**
- Adjust thresholds based on environment baseline
- Whitelist known legitimate processes
- Correlate with threat intelligence feeds",detection_rules,mitre_attack,0.9,137,True
Create detection rules for MITRE ATT&CK technique T1055 (Process Injection).,Need to detect Process Injection attacks in SIEM environment.,"**Detection Rules for T1055: Process Injection**

**Splunk Detection:**
```spl
index=security sourcetype=WinEventLog:Security
| eval technique_id=""T1055""
| search EventCode=4624 OR EventCode=4625
| stats count by src_ip, user, technique_id
| where count > 5
| eval severity=case(count > 20, ""High"", count > 10, ""Medium"", 1=1, ""Low"")
```

**LimaCharlie D&R Rule:**
```yaml
detect:
  event: NEW_PROCESS
  op: and
  rules:
    - op: contains
      path: event/COMMAND_LINE
      value: suspicious_pattern
      case_sensitive: false

respond:
  - action: report
    name: t1055_detection
  - action: isolation
    duration: 3600
    reason: Potential Process Injection detected
```

**Sigma Rule:**
```yaml
title: Process Injection Detection
id: 6b5b16b3-3e55-4e77-981c-16699dceb0b5
status: experimental
description: Detects potential Process Injection activity
logsource:
  category: process_creation
  product: windows
detection:
  selection:
    Image|endswith: '.exe'
    CommandLine|contains: 'suspicious'
  condition: selection
falsepositives:
  - Legitimate administrative activity
level: medium
tags:
  - attack.t1055
```

**Tuning Guidance:**
- Adjust thresholds based on environment baseline
- Whitelist known legitimate processes
- Correlate with threat intelligence feeds",detection_rules,mitre_attack,0.9,141,True
Create detection rules for MITRE ATT&CK technique T1021 (Remote Services).,Need to detect Remote Services attacks in SIEM environment.,"**Detection Rules for T1021: Remote Services**

**Splunk Detection:**
```spl
index=security sourcetype=WinEventLog:Security
| eval technique_id=""T1021""
| search EventCode=4624 OR EventCode=4625
| stats count by src_ip, user, technique_id
| where count > 5
| eval severity=case(count > 20, ""High"", count > 10, ""Medium"", 1=1, ""Low"")
```

**LimaCharlie D&R Rule:**
```yaml
detect:
  event: NEW_PROCESS
  op: and
  rules:
    - op: contains
      path: event/COMMAND_LINE
      value: suspicious_pattern
      case_sensitive: false

respond:
  - action: report
    name: t1021_detection
  - action: isolation
    duration: 3600
    reason: Potential Remote Services detected
```

**Sigma Rule:**
```yaml
title: Remote Services Detection
id: 3c2f966b-e9fd-4e77-981c-16699dceb0b5
status: experimental
description: Detects potential Remote Services activity
logsource:
  category: process_creation
  product: windows
detection:
  selection:
    Image|endswith: '.exe'
    CommandLine|contains: 'suspicious'
  condition: selection
falsepositives:
  - Legitimate administrative activity
level: medium
tags:
  - attack.t1021
```

**Tuning Guidance:**
- Adjust thresholds based on environment baseline
- Whitelist known legitimate processes
- Correlate with threat intelligence feeds",detection_rules,mitre_attack,0.9,141,True
Create detection rules for MITRE ATT&CK technique T1059 (Command and Scripting Interpreter).,Need to detect Command and Scripting Interpreter attacks in SIEM environment.,"**Detection Rules for T1059: Command and Scripting Interpreter**

**Splunk Detection:**
```spl
index=security sourcetype=WinEventLog:Security
| eval technique_id=""T1059""
| search EventCode=4624 OR EventCode=4625
| stats count by src_ip, user, technique_id
| where count > 5
| eval severity=case(count > 20, ""High"", count > 10, ""Medium"", 1=1, ""Low"")
```

**LimaCharlie D&R Rule:**
```yaml
detect:
  event: NEW_PROCESS
  op: and
  rules:
    - op: contains
      path: event/COMMAND_LINE
      value: suspicious_pattern
      case_sensitive: false

respond:
  - action: report
    name: t1059_detection
  - action: isolation
    duration: 3600
    reason: Potential Command and Scripting Interpreter detected
```

**Sigma Rule:**
```yaml
title: Command and Scripting Interpreter Detection
id: 1d9003eb-907c-4e77-981c-16699dceb0b5
status: experimental
description: Detects potential Command and Scripting Interpreter activity
logsource:
  category: process_creation
  product: windows
detection:
  selection:
    Image|endswith: '.exe'
    CommandLine|contains: 'suspicious'
  condition: selection
falsepositives:
  - Legitimate administrative activity
level: medium
tags:
  - attack.t1059
```

**Tuning Guidance:**
- Adjust thresholds based on environment baseline
- Whitelist known legitimate processes
- Correlate with threat intelligence feeds",detection_rules,mitre_attack,0.9,149,True
